delivery_partner_id,partner_brand_name,partner_type,contact_number
63230,BlueDart,3rd Party,9.12988E+11
14983,Shadowfax,3rd Party,9.15123E+11
39859,Shadowfax,3rd Party,9.10034E+11
61497,BlueDart,3rd Party,9.16264E+11
84315,Delhivery,3rd Party,9.17294E+11
554,Dunzo,3rd Party,9.12582E+11
14630,Dunzo,3rd Party,9.12413E+11
67714,Dunzo,3rd Party,9.13807E+11
91362,BlueDart,3rd Party,9.12865E+11
77203,Shadowfax,3rd Party,9.17646E+11
64046,BlueDart,3rd Party,9.12464E+11
94899,BlueDart,3rd Party,9.16726E+11
73907,LoadShare,3rd Party,9.1913E+11
56077,Shadowfax,3rd Party,9.12758E+11
94140,LoadShare,3rd Party,9.1314E+11
12377,Blinkit Partner,In-house,9.19891E+11
102,Shadowfax,3rd Party,9.17061E+11
45032,Shadowfax,3rd Party,9.14467E+11
1108,Shadowfax,3rd Party,9.10837E+11
62782,Dunzo,3rd Party,9.12286E+11
74906,Dunzo,3rd Party,9.13247E+11
79516,LoadShare,3rd Party,9.17568E+11
65733,LoadShare,3rd Party,9.1855E+11
53868,Shadowfax,3rd Party,9.18533E+11
22954,LoadShare,3rd Party,9.15901E+11
21004,Dunzo,3rd Party,9.14996E+11
43022,BlueDart,3rd Party,9.14798E+11
42914,BlueDart,3rd Party,9.16129E+11
59131,BlueDart,3rd Party,9.11622E+11
88612,LoadShare,3rd Party,9.12414E+11
90038,Blinkit Partner,In-house,9.11099E+11
28575,Dunzo,3rd Party,9.17775E+11
84816,Blinkit Partner,In-house,9.17083E+11
23910,LoadShare,3rd Party,9.1254E+11
78589,Delhivery,3rd Party,9.12976E+11
93002,Ecom Express,3rd Party,9.16291E+11
61040,Ecom Express,3rd Party,9.18695E+11
30907,Shadowfax,3rd Party,9.17249E+11
52614,Ecom Express,3rd Party,9.14393E+11
60689,Ecom Express,3rd Party,9.13218E+11
98179,Dunzo,3rd Party,9.19424E+11
84833,BlueDart,3rd Party,9.15548E+11
73904,Blinkit Partner,In-house,9.16882E+11
14408,Delhivery,3rd Party,9.16372E+11
95835,Delhivery,3rd Party,9.17749E+11
77303,Dunzo,3rd Party,9.17565E+11
31963,Dunzo,3rd Party,9.17643E+11
14789,Ecom Express,3rd Party,9.12402E+11
61526,Delhivery,3rd Party,9.18488E+11
75636,Shadowfax,3rd Party,9.1869E+11
1761,Shadowfax,3rd Party,9.13771E+11
3481,Blinkit Partner,In-house,9.19502E+11
50582,Shadowfax,3rd Party,9.13766E+11
97135,Delhivery,3rd Party,9.1106E+11
57095,Ecom Express,3rd Party,9.18164E+11
60234,Delhivery,3rd Party,9.16156E+11
51273,LoadShare,3rd Party,9.19451E+11
47552,Delhivery,3rd Party,9.14779E+11
60867,Ecom Express,3rd Party,9.19604E+11
12879,Shadowfax,3rd Party,9.12023E+11
44245,BlueDart,3rd Party,9.17218E+11
76503,Blinkit Partner,In-house,9.10964E+11
25251,LoadShare,3rd Party,9.19755E+11
30330,Shadowfax,3rd Party,9.12345E+11
27478,Blinkit Partner,In-house,9.16507E+11
34078,Shadowfax,3rd Party,9.19528E+11
52564,LoadShare,3rd Party,9.12704E+11
97547,Delhivery,3rd Party,9.15933E+11
85285,Ecom Express,3rd Party,9.11394E+11
34667,BlueDart,3rd Party,9.1469E+11
39396,LoadShare,3rd Party,9.19566E+11
8041,Ecom Express,3rd Party,9.13681E+11
16623,Delhivery,3rd Party,9.16108E+11
54708,LoadShare,3rd Party,9.12082E+11
58721,Dunzo,3rd Party,9.18312E+11
38745,BlueDart,3rd Party,9.17283E+11
80034,Shadowfax,3rd Party,9.1947E+11
85718,Shadowfax,3rd Party,9.12675E+11
63099,BlueDart,3rd Party,9.11174E+11
64950,Dunzo,3rd Party,9.15675E+11
67408,Ecom Express,3rd Party,9.18798E+11
24100,Delhivery,3rd Party,9.15668E+11
50748,Shadowfax,3rd Party,9.12969E+11
40337,Ecom Express,3rd Party,9.19236E+11
16848,Dunzo,3rd Party,9.19121E+11
28786,Ecom Express,3rd Party,9.18553E+11
58201,Shadowfax,3rd Party,9.15277E+11
43200,Blinkit Partner,In-house,9.17711E+11
8135,Delhivery,3rd Party,9.12287E+11
20504,Blinkit Partner,In-house,9.10654E+11
34929,BlueDart,3rd Party,9.12105E+11
69733,Ecom Express,3rd Party,9.11626E+11
50527,Delhivery,3rd Party,9.19949E+11
76868,Dunzo,3rd Party,9.13522E+11
406,Delhivery,3rd Party,9.15274E+11
77590,Delhivery,3rd Party,9.10674E+11
45656,Dunzo,3rd Party,9.17147E+11
96211,BlueDart,3rd Party,9.17959E+11
89976,Delhivery,3rd Party,9.12943E+11
1773,BlueDart,3rd Party,9.19245E+11
60822,BlueDart,3rd Party,9.16234E+11
42711,BlueDart,3rd Party,9.19226E+11
21125,Shadowfax,3rd Party,9.19861E+11
59743,LoadShare,3rd Party,9.19003E+11
4852,BlueDart,3rd Party,9.11549E+11
99227,Dunzo,3rd Party,9.19611E+11
35552,LoadShare,3rd Party,9.1876E+11
56384,BlueDart,3rd Party,9.1056E+11
16076,Dunzo,3rd Party,9.19594E+11
74308,Dunzo,3rd Party,9.11819E+11
63454,Blinkit Partner,In-house,9.16684E+11
83636,Blinkit Partner,In-house,9.17842E+11
33342,Delhivery,3rd Party,9.19344E+11
12086,BlueDart,3rd Party,9.18574E+11
59936,BlueDart,3rd Party,9.15915E+11
58378,LoadShare,3rd Party,9.19987E+11
27993,Dunzo,3rd Party,9.12196E+11
45180,BlueDart,3rd Party,9.15475E+11
32773,Delhivery,3rd Party,9.15803E+11
4904,Ecom Express,3rd Party,9.14158E+11
73623,Ecom Express,3rd Party,9.17543E+11
22883,Ecom Express,3rd Party,9.13657E+11
23606,Shadowfax,3rd Party,9.17254E+11
97297,Dunzo,3rd Party,9.13347E+11
18907,Ecom Express,3rd Party,9.10597E+11
72197,Shadowfax,3rd Party,9.18702E+11
70995,Ecom Express,3rd Party,9.11918E+11
56968,Delhivery,3rd Party,9.18164E+11
44706,Blinkit Partner,In-house,9.14842E+11
92744,Delhivery,3rd Party,9.14211E+11
1328,Shadowfax,3rd Party,9.18945E+11
11008,Dunzo,3rd Party,9.1276E+11
21511,LoadShare,3rd Party,9.1445E+11
19332,BlueDart,3rd Party,9.13689E+11
97477,Delhivery,3rd Party,9.12436E+11
89164,Dunzo,3rd Party,9.15843E+11
44627,BlueDart,3rd Party,9.14481E+11
4946,Blinkit Partner,In-house,9.161E+11
66403,Blinkit Partner,In-house,9.14932E+11
23782,BlueDart,3rd Party,9.13593E+11
75492,Blinkit Partner,In-house,9.17963E+11
